ticker,quarter,poly_api_url
AAPL,2023-Q1,
AAPL,2023-Q2,
AAPL,2023-Q3,
AAPL,2023-Q4,
AAPL,2024-Q1,
AAPL,2024-Q2,
AAPL,2024-Q3,
AAPL,2024-Q4,
AAPL,2025-Q1,
AAPL,2025-Q2,
AAPL,2025-Q3,
ADBE,2023-Q1,
ADBE,2023-Q2,
ADBE,2023-Q3,
ADBE,2023-Q4,
ADBE,2024-Q1,
ADBE,2024-Q2,
ADBE,2024-Q3,
ADBE,2024-Q4,
ADBE,2025-Q1,
ADBE,2025-Q2,
ADBE,2025-Q3,
AMD,2023-Q1,
AMD,2023-Q2,
AMD,2023-Q3,
AMD,2023-Q4,
AMD,2024-Q1,
AMD,2024-Q2,
AMD,2024-Q3,
AMD,2024-Q4,
AMD,2025-Q1,
AMD,2025-Q2,
AMD,2025-Q3,
AMZN,2023-Q1,
AMZN,2023-Q2,
AMZN,2023-Q3,
AMZN,2023-Q4,
AMZN,2024-Q1,
AMZN,2024-Q2,
AMZN,2024-Q3,
AMZN,2024-Q4,
AMZN,2025-Q1,
AMZN,2025-Q2,
AMZN,2025-Q3,
AVGO,2023-Q1,
AVGO,2023-Q2,
AVGO,2023-Q3,
AVGO,2023-Q4,
AVGO,2024-Q1,
AVGO,2024-Q2,
AVGO,2024-Q3,
AVGO,2024-Q4,
AVGO,2025-Q1,
AVGO,2025-Q2,
AVGO,2025-Q3,
BAC,2023-Q1,
BAC,2023-Q2,
BAC,2023-Q3,
BAC,2023-Q4,
BAC,2024-Q1,
BAC,2024-Q2,
BAC,2024-Q3,
BAC,2024-Q4,
BAC,2025-Q1,
BAC,2025-Q2,
BAC,2025-Q3,
BK,2023-Q1,
BK,2023-Q2,
BK,2023-Q3,
BK,2023-Q4,
BK,2024-Q1,
BK,2024-Q2,
BK,2024-Q3,
BK,2024-Q4,
BK,2025-Q1,
BK,2025-Q2,
BK,2025-Q3,
BLK,2023-Q1,
BLK,2023-Q2,
BLK,2023-Q3,
BLK,2023-Q4,
BLK,2024-Q1,
BLK,2024-Q2,
BLK,2024-Q3,
BLK,2024-Q4,
BLK,2025-Q1,
BLK,2025-Q2,
BLK,2025-Q3,
BR,2023-Q1,
BR,2023-Q2,
BR,2023-Q3,
BR,2023-Q4,
BR,2024-Q1,
BR,2024-Q2,
BR,2024-Q3,
BR,2024-Q4,
BR,2025-Q1,
BR,2025-Q2,
BR,2025-Q3,
C,2023-Q1,
C,2023-Q2,
C,2023-Q3,
C,2023-Q4,
C,2024-Q1,
C,2024-Q2,
C,2024-Q3,
C,2024-Q4,
C,2025-Q1,
C,2025-Q2,
C,2025-Q3,
CRM,2023-Q1,
CRM,2023-Q2,
CRM,2023-Q3,
CRM,2023-Q4,
CRM,2024-Q1,
CRM,2024-Q2,
CRM,2024-Q3,
CRM,2024-Q4,
CRM,2025-Q1,
CRM,2025-Q2,
CRM,2025-Q3,
DAL,2023-Q1,
DAL,2023-Q2,
DAL,2023-Q3,
DAL,2023-Q4,
DAL,2024-Q1,
DAL,2024-Q2,
DAL,2024-Q3,
DAL,2024-Q4,
DAL,2025-Q1,
DAL,2025-Q2,
DAL,2025-Q3,
GS,2023-Q1,
GS,2023-Q2,
GS,2023-Q3,
GS,2023-Q4,
GS,2024-Q1,
GS,2024-Q2,
GS,2024-Q3,
GS,2024-Q4,
GS,2025-Q1,
GS,2025-Q2,
GS,2025-Q3,
INTC,2023-Q1,
INTC,2023-Q2,
INTC,2023-Q3,
INTC,2023-Q4,
INTC,2024-Q1,
INTC,2024-Q2,
INTC,2024-Q3,
INTC,2024-Q4,
INTC,2025-Q1,
